Comment,Designator,Footprint,LCSC,Quantity
100pF,C4,C_0805_2012Metric,C107122,1
10pF,C1,C_0805_2012Metric,C113817,1
22pF,C2,C_0805_2012Metric,C113818,1
220pF,C5,C_0805_2012Metric,C113819,1
47pF,C3,C_0805_2012Metric,C113821,1
47uF/16V,C16,CP_Elec_5x5.4,C134798,1
470nF,"C10,C11,C12,C13,C14,C18,C19,C20,C21,C22,C23,C24,C25,C8,C9",C_0805_2012Metric,C13967,15
1N5711,"D1,D2",D_SOD-123,C154843,2
10k,"R10,R7,R8,R9",R_0805_2012Metric,C17414,4
10,R16,R_0805_2012Metric,C17415,1
1k,R11,R_0805_2012Metric,C17513,1
3k,"R12,R13",R_0805_2012Metric,C17661,2
68k,"R3,R4",R_0805_2012Metric,C17801,2
7.5K,R15,R_0805_2012Metric,C17807,1
34k,"R5,R6",R_0805_2012Metric,C228760,2
LM386MMX-1,U4,M08A_TEX,C23573,1
10nF,"C30,C31,C32,C33,C34,C35",C_0805_2012Metric,C237168,6
1000uF/16V,C37,CP_Elec_10x10,C249844,1
470pF,C6,C_0805_2012Metric,C277525,1
100nF,"C15,C17,C42,C43,C44",C_0805_2012Metric,C28233,5
750,R17,R_0805_2012Metric,C308463,1
100uF/25V,"C28,C29",CP_Elec_6.3x7.7,C3338,2
49.9/1W,"R1,R2",R_1812_4532Metric,C422079,2
ATU_RESET,D3,LED_0805_2012Metric,C434434,1
1000pF,C7,C_0805_2012Metric,C46653,1
G6K-2F-Y,"RLY1,RLY10,RLY11,RLY12,RLY13,RLY14,RLY15,RLY2,RLY3,RLY4,RLY5,RLY6,RLY7,RLY8,RLY9",G6K-2F-Y DC3,C47190,15
47nF,C36,C_0805_2012Metric,C53134,1
1N4148,D4,D_SOD-123,C81598,1
2N7002,"Q1,Q10,Q11,Q12,Q13,Q14,Q15,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-23,C8545,15
PIC16F1938-I_SS,U1,PIC16F1938-X&slash_SS_MCH-M,C9784,1
