Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10pF,C_0805_2012Metric,75.422201,10.647799,180,top
C10,470nF,C_0805_2012Metric,76.799598,37.241599,180,top
C11,470nF,C_0805_2012Metric,76.9364,46.502201,180,top
C12,470nF,C_0805_2012Metric,76.8402,56.113799,180,top
C13,470nF,C_0805_2012Metric,76.7994,66.2686,180,top
C14,470nF,C_0805_2012Metric,76.9366,76.4794,180,top
C15,100nF,C_0805_2012Metric,106.873,86.4362,180,top
C16,47uF/16V,CP_EIA-7343-31_Kemet-D,99.5426,90.3732,0,top
C17,100nF,C_0805_2012Metric,103.3932,86.4362,0,top
C18,470nF,C_0805_2012Metric,66.049601,80.200401,180,top
C19,470nF,C_0805_2012Metric,61.731601,12.390199,90,top
C2,22pF,C_0805_2012Metric,75.432201,20.279598,180,top
C20,470nF,C_0805_2012Metric,61.538401,21.193998,90,top
C21,470nF,C_0805_2012Metric,61.722,31.160799,90,top
C22,470nF,C_0805_2012Metric,61.7474,41.0312,90,top
C23,470nF,C_0805_2012Metric,61.6204,50.8762,90,top
C24,470nF,C_0805_2012Metric,61.630199,60.777398,90,top
C25,470nF,C_0805_2012Metric,61.559999,70.855999,90,top
C26,100nF,C_0805_2012Metric,2.7432,83.7438,0,top
C27,100nF,C_0805_2012Metric,15.4178,85.7758,0,top
C28,100uF/16V,CP_EIA-7343-31_Kemet-D,15.4686,77.9856,90,top
C29,100uF/16V,CP_EIA-7343-31_Kemet-D,5.461,78.0288,180,top
C3,47pF,C_0805_2012Metric,75.4482,30.256599,180,top
C30,10nF,C_0805_2012Metric,112.2934,43.1038,-90,top
C31,10nF,C_0805_2012Metric,111.5314,72.5678,90,top
C32,10nF,C_0805_2012Metric,53.8734,80.076,-90,top
C33,10nF,C_0805_2012Metric,105.4608,41.9608,0,top
C34,10nF,C_0805_2012Metric,116.9518,71.7042,180,top
C35,10nF,C_0805_2012Metric,53.9242,72.3138,-90,top
C36,47nF,C_0805_2012Metric,20.894,80.4672,180,top
C37,330uF/16V,CP_EIA-7343-43_Kemet-X,9.9822,68.072,90,top
C38,270nF,C_0805_2012Metric,11.557,91.7194,90,top
C39,100pF,C_0805_2012Metric,15.2654,88.8746,0,top
C4,100pF,C_0805_2012Metric,75.438,40.0304,180,top
C40,270nF,C_0805_2012Metric,22.4282,93.853,0,top
C41,330uF/16V,CP_EIA-7343-43_Kemet-X,15.0114,68.072,90,top
C42,100nF,C_0805_2012Metric,53.8734,83.947,90,top
C43,100nF,C_0805_2012Metric,39.4462,85.598,0,top
C44,100nF,C_0805_2012Metric,33.9852,83.8302,-90,top
